time,eeg-ch1,eeg-ch2,eeg-ch3,eeg-ch4,eeg-ch5,eeg-ch6,gyro-gyro1,gyro-gyro2,gyro-gyro3,acc-acc1,acc-acc2,acc-acc3,ppg-ambient,ppg-ir,ppg-red
5.26171875,508.1048294804303,522.2041657129778,1596.800183108263,1265.5916685740444,0.0,0.0,-55430.629096564255,-1794392.1819681989,14973.32739295234,89149.39822224001,64221.67055699119,970713.6860978139,33783859865.92651,23866524859.15307,86693468.03642593
5.265625,1575.4497596704052,1579.8809796292057,547.1801327534905,125.73586633096818,0.0,0.0,-39272.558071843094,-1778797.6976112651,14629.684215948515,88173.94075091831,65074.52668914389,972192.1073150804,33767913344.014683,23855449698.634327,65536949.72151425
5.26953125,953.3165484092469,922.7008468757153,622.1332112611582,646.3035019455252,0.0,0.0,-21370.42570281323,-1760197.084474686,9198.032620124824,87191.9532000999,66701.00072858369,973450.8893520377,33762590185.76142,23845916580.805134,56209857.00521546
5.2734375,0.0,0.0,1631.444266422522,1650.0,0.0,0.0,-5202.041511488349,-1743250.0808994146,-2141.0712807229515,86570.41827559363,68495.73909525157,974048.7162057625,33771133547.67434,23842145084.00127,61792716.13371882
5.27734375,353.79262989242386,358.2238498512245,1650.0,1495.6626230258637,0.0,0.0,6785.363310141207,-1731208.7424345904,-18434.91860689039,86564.90490632966,69773.94596779927,973729.5371723417,33791606534.238396,23845863053.677746,78643576.19581802
5.28125,1500.4966811627376,1498.0796520943006,760.734721904326,379.1714351110094,0.0,0.0,13686.699614564372,-1725199.4569551356,-37261.098237172126,87227.55214529697,70032.79048491479,972520.2374868417,33817066056.305775,23855449698.63432,98305424.58232959
5.28515625,1650.0,1650.0,0.0,0.0,0.0,0.0,16119.942101806135,-1724276.461822363,-55476.27375786184,88388.75418088686,69145.05503447205,970734.8415566625,33838049449.97668,23866685721.053062,111506942.80468763
5.2890625,1650.0,1650.0,0.0,0.0,0.0,0.0,15740.284505846399,-1726128.757921829,-70113.72660244061,89717.91979322059,67410.72410624565,968880.5795216615,33846365861.80421,23874752912.221664,112336963.38225521
5.29296875,1650.0,1650.0,0.0,0.0,0.0,0.0,14503.29384716058,-1728110.8470473248,-79115.58737775362,90839.66609822294,65446.56155832749,967495.7574885241,33838500324.839886,23876496299.70741,100683240.64206368
5.296875,977.0840009155413,977.4868390936141,483.1288624399176,676.5415426871136,0.0,0.0,13955.44164286584,-1728193.6982846174,-81686.08326795838,91462.2144955692,63955.58949994909,966974.1758218616,33817066056.305798,23871833936.064674,81921187.1519219
5.30078125,1650.0,1650.0,0.0,0.0,0.0,0.0,14786.724626397176,-1725511.5676307266,-78218.8329234719,91471.6490572578,63464.07855604955,967436.6631266202,33789636184.828762,23863639879.008057,64154850.989078626
5.3046875,0.0,0.0,1559.7390707255665,1650.0,0.0,0.0,16754.675513118626,-1720370.8448345866,-69912.60620769912,90959.77219994308,64125.78760248593,968694.6430076793,33765513947.219776,23856204454.106483,54414587.474362284
5.30859375,947.2739757381551,947.2739757381551,333.24788281071187,603.1998168917373,0.0,0.0,18936.81512638025,-1713808.312982365,-58283.45947983862,90178.76854249813,65667.26908080358,970318.7760007002,33751951227.329758,23853086569.76745,55604942.56792792
5.3125,1244.2412451361865,1244.6440833142597,917.8667887388417,678.1528953994048,0.0,0.0,20151.80008248343,-1706951.2874917863,-44777.53790342114,89442.86197647167,67494.16564295818,971788.844780343,33751529106.584263,23855449698.634335,65536949.72151423
5.31640625,945.6626230258639,945.6626230258639,976.2783245593956,844.5250629434654,0.0,0.0,19352.387340566864,-1700481.548152183,-30601.407675669445,89015.47079970833,68917.26985572085,972672.3752510421,33761782365.766956,23861683172.652515,78339000.10990877
5.3203125,1650.0,1650.0,0.0,0.0,0.0,0.0,15844.458630394205,-1694427.9875589032,-16762.550427392634,89023.50122836465,69412.04452872949,972769.3876702033,33777019881.29751,23868420477.258167,87437433.53707549
5.32421875,1020.6157015335317,1020.6157015335317,128.15289539940488,441.6365300984206,0.0,0.0,9296.204071198217,-1688349.040221803,-4210.138487734362,89427.84322912437,68813.34911050621,972172.8845474798,33791249260.996178,23872348708.268578,88641254.15758337
5.328125,128.15289539940488,128.15289539940488,1650.0,1650.0,0.0,0.0,-383.9330772276282,-1681787.2064257518,6070.24747798629,90056.32648992103,67372.56468508946,971224.8711341692,33800681818.87544,23871833936.06467,81921187.15192193
